output/ibol.species.seq150.k13.arff,74.05,54.76,*,2.24,*,2.24,*,58.48,*,74.56,' '
output/ibol.species.seq150.k14.arff,83.39,81.26,*,2.24,*,2.24,*,73.39,*,84.55,' '
output/ibol.species.seq150.k15.arff,85.84,83.39,*,79.18,*,88.78,v,78.36,*,86.10,' '
output/ibol.species.seq300.k11.arff,14.90,11.67,*,2.24,*,2.24,*,10.98,*,11.95,*
output/ibol.species.seq300.k12.arff,73.18,57.38,*,2.24,*,2.24,*,47.25,*,68.31,*
output/ibol.species.seq300.k13.arff,92.59,93.21,' ',2.24,*,2.24,*,90.66,*,92.73,' '
output/ibol.species.seq150.k16.arff,87.64,76.07,*,66.56,*,89.87,v,69.79,*,87.08,' '
output/ibol.species.seq300.k14.arff,97.58,97.14,' ',2.24,*,2.24,*,97.49,' ',97.48,' '
output/ibol.species.seq300.k15.arff,98.46,97.89,' ',98.77,' ',98.93,v,98.46,' ',98.37,' '
output/ibol.species.seq300.k16.arff,98.73,97.95,*,97.76,*,99.06,' ',97.90,*,98.68,' '
output/ibol.species.seq450.k11.arff,26.29,21.20,*,2.24,*,2.24,*,16.92,*,18.96,*
output/ibol.species.seq450.k12.arff,89.76,87.90,*,2.24,*,2.24,*,71.57,*,84.58,*
output/ibol.species.seq450.k13.arff,98.97,98.67,' ',2.24,*,2.24,*,98.88,' ',98.81,' '
output/ibol.species.seq450.k14.arff,99.91,99.68,' ',2.24,*,2.24,*,99.77,*,99.81,' '
output/ibol.species.seq450.k15.arff,99.95,99.77,*,99.95,' ',99.95,' ',99.89,' ',99.97,' '
output/ibol.species.seq600.k11.arff,82.90,82.84,' ',75.30,*,80.01,' ',52.80,*,55.50,*
output/ibol.species.seq600.k12.arff,98.87,97.61,*,98.55,' ',99.25,' ',97.11,*,98.62,' '
output/ibol.species.seq600.k13.arff,99.94,98.93,' ',99.75,' ',99.87,' ',99.94,' ',100.00,' '
output/ibol.species.seq600.k14.arff,99.94,99.37,' ',99.25,' ',99.87,' ',100.00,' ',100.00,' '
output/ibol.species.seq600.k15.arff,100.00,99.37,' ',100.00,' ',100.00,' ',100.00,' ',100.00,' '
output/ibol.species.seq600.k16.arff,100.00,99.37,' ',100.00,' ',100.00,' ',100.00,' ',100.00,' '
output/res50k.family.seq150.k11.arff,14.24,19.94,v,17.68,v,19.89,v,19.36,v,20.70,v
output/res50k.family.seq150.k12.arff,38.12,19.56,*,20.89,*,25.31,*,24.41,*,36.03,*
output/res50k.family.seq150.k13.arff,48.32,22.08,*,23.12,*,36.78,*,33.71,*,47.36,' '
output/res50k.family.seq150.k14.arff,55.29,34.77,*,28.89,*,47.81,*,45.55,*,55.10,' '
output/ibol.species.seq450.k16.arff,99.97,99.78,' ',99.65,*,99.98,' ',99.72,*,99.96,' '
output/res50k.family.seq150.k15.arff,57.71,46.75,*,52.24,*,58.94,v,52.33,*,57.44,' '
output/res50k.family.seq150.k16.arff,58.96,58.51,' ',60.39,' ',60.30,v,59.41,' ',57.64,*
output/res50k.family.seq300.k11.arff,22.87,30.95,v,29.56,v,30.15,v,22.04,' ',22.46,' '
output/res50k.family.seq300.k12.arff,51.88,36.10,*,36.80,*,43.08,*,37.89,*,47.03,*
output/res50k.family.seq300.k13.arff,61.50,46.38,*,46.49,*,58.68,*,53.95,*,59.29,' '
output/res50k.family.seq300.k14.arff,69.71,61.95,*,62.50,*,69.01,' ',66.86,*,66.90,' '
output/res50k.family.seq300.k15.arff,72.51,70.10,*,71.56,*,72.82,' ',72.65,' ',70.76,*
output/res50k.family.seq300.k16.arff,72.17,76.03,v,76.38,v,73.05,' ',76.02,v,71.41,' '
output/res50k.family.seq450.k11.arff,29.52,35.11,v,34.00,v,34.73,v,24.29,' ',24.51,' '
output/res50k.family.seq450.k12.arff,60.74,44.80,*,46.49,*,55.27,*,45.74,*,53.56,*
output/res50k.family.seq450.k13.arff,70.38,59.72,*,60.21,*,68.33,*,64.05,*,67.91,*
output/res50k.family.seq450.k14.arff,77.41,73.47,*,74.55,' ',76.89,' ',76.03,' ',74.62,*
output/res50k.family.seq450.k15.arff,80.08,79.02,' ',79.73,' ',80.45,' ',80.15,' ',77.96,' '
output/res50k.family.seq450.k16.arff,79.93,82.35,v,82.42,v,80.45,' ',82.33,v,79.02,' '
output/res50k.family.seq600.k11.arff,53.45,42.61,*,42.57,*,46.22,*,36.83,*,38.65,*
output/res50k.family.seq600.k12.arff,78.12,56.01,*,58.95,*,74.80,*,56.06,*,73.16,*
output/res50k.family.seq600.k13.arff,83.59,69.82,*,71.48,*,76.70,*,73.34,*,80.77,*
output/res50k.family.seq600.k14.arff,87.12,74.58,*,64.22,*,86.41,' ',83.04,*,83.65,*
output/res50k.family.seq600.k15.arff,86.85,80.48,*,73.46,*,86.62,' ',84.68,*,85.09,*
output/res50k.family.seq600.k16.arff,86.16,84.82,*,82.24,*,86.43,' ',85.94,' ',85.59,*
output/res50k.genus.seq150.k11.arff,5.43,7.93,v,2.89,*,2.89,*,8.15,v,8.07,v
output/res50k.genus.seq150.k12.arff,27.51,9.99,*,2.89,*,2.89,*,13.85,*,26.41,' '
output/res50k.genus.seq150.k13.arff,41.78,24.49,*,2.89,*,2.89,*,30.14,*,42.40,' '
output/res50k.genus.seq150.k14.arff,50.51,43.63,*,4.15,*,4.15,*,42.63,*,51.07,' '
output/res50k.genus.seq150.k15.arff,53.48,51.80,' ',52.50,' ',57.96,v,50.67,' ',54.04,v
output/res50k.genus.seq150.k16.arff,56.35,51.97,*,50.39,*,59.66,v,50.13,*,54.95,' '
output/res50k.genus.seq300.k11.arff,12.32,15.27,v,12.44,' ',12.52,' ',11.75,' ',12.09,' '
output/res50k.genus.seq300.k12.arff,43.60,30.11,*,19.62,*,21.40,*,28.12,*,39.63,*
output/res50k.genus.seq300.k13.arff,59.47,57.91,' ',25.89,*,32.58,*,54.27,*,58.91,' '
output/res50k.genus.seq300.k14.arff,69.87,75.04,v,51.85,*,62.68,' ',69.36,' ',68.91,' '
output/res50k.genus.seq300.k15.arff,74.06,79.67,v,80.31,v,75.97,v,77.81,v,72.56,*
output/res50k.genus.seq300.k16.arff,74.61,78.01,v,76.46,v,76.57,v,75.77,v,73.73,' '
output/res50k.genus.seq450.k11.arff,18.49,19.48,' ',17.99,' ',18.32,' ',9.86,' ',9.93,' '
output/res50k.genus.seq450.k12.arff,56.17,45.62,*,36.16,*,42.77,*,39.61,*,50.72,*
output/res50k.genus.seq450.k13.arff,72.70,75.93,v,65.99,*,70.16,*,68.45,*,71.53,' '
output/res50k.genus.seq450.k14.arff,82.06,86.20,v,85.21,v,82.52,' ',83.13,' ',79.54,*
output/res50k.genus.seq450.k15.arff,85.05,89.09,v,90.59,v,86.33,v,88.96,v,84.05,*
output/res50k.genus.seq450.k16.arff,85.43,88.71,v,88.52,v,86.21,' ',87.68,v,85.02,' '
output/res50k.genus.seq600.k11.arff,50.17,36.96,*,30.17,*,34.15,*,24.31,*,26.45,*
output/res50k.genus.seq600.k12.arff,81.07,69.39,*,59.01,*,75.65,*,60.98,*,76.27,*
output/res50k.genus.seq600.k13.arff,88.32,84.67,*,74.97,*,80.90,*,82.99,*,86.01,*
output/res50k.genus.seq600.k14.arff,91.10,82.89,*,57.49,*,91.28,' ',89.15,' ',88.88,' '
output/res50k.genus.seq600.k15.arff,90.89,86.15,*,79.20,*,91.43,' ',92.73,' ',90.03,' '
output/ibol.species.seq150.k11.arff,6.74,4.67,*,2.24,*,2.24,*,5.34,*,6.43,' '
output/ibol.species.seq150.k12.arff,49.61,13.74,*,2.24,*,2.24,*,19.78,*,'',''
output/res50k.genus.seq600.k16.arff,90.75,88.73,*,88.00,*,91.17,' ',92.66,v,90.32,' '